,sel,mig,Fbin,Nbin,freqR,orig,origsd,origmax
231,0.006,0.001,R0,19981.0,0.00095,1.002,0.0446766158074,2.0
232,0.006,0.001,R1,18.0,0.00095,1.002,0.0446766158074,2.0
233,0.006,0.001,R2,0.0,0.00095,1.002,0.0446766158074,2.0
234,0.006,0.001,R3,0.0,0.00095,1.002,0.0446766158074,2.0
235,0.006,0.001,R4,0.0,0.00095,1.002,0.0446766158074,2.0
236,0.006,0.001,R5,0.0,0.00095,1.002,0.0446766158074,2.0
237,0.006,0.001,R6,0.0,0.00095,1.002,0.0446766158074,2.0
238,0.006,0.001,R7,0.0,0.00095,1.002,0.0446766158074,2.0
239,0.006,0.001,R8,0.0,0.00095,1.002,0.0446766158074,2.0
240,0.006,0.001,R9,0.0,0.00095,1.002,0.0446766158074,2.0
241,0.006,0.001,R10,0.0,0.00095,1.002,0.0446766158074,2.0
242,0.006,0.001,R11,0.0,0.00095,1.002,0.0446766158074,2.0
243,0.006,0.001,R12,0.0,0.00095,1.002,0.0446766158074,2.0
244,0.006,0.001,R13,0.0,0.00095,1.002,0.0446766158074,2.0
245,0.006,0.001,R14,0.0,0.00095,1.002,0.0446766158074,2.0
246,0.006,0.001,R15,0.0,0.00095,1.002,0.0446766158074,2.0
247,0.006,0.001,R16,0.0,0.00095,1.002,0.0446766158074,2.0
248,0.006,0.001,R17,0.0,0.00095,1.002,0.0446766158074,2.0
249,0.006,0.001,R18,0.0,0.00095,1.002,0.0446766158074,2.0
250,0.006,0.001,R19,0.0,0.00095,1.002,0.0446766158074,2.0
251,0.006,0.001,R20,0.0,0.00095,1.002,0.0446766158074,2.0
252,0.006,0.002,R0,19961.0,0.00195,1.006,0.0772269383052,2.0
253,0.006,0.002,R1,36.0,0.00195,1.006,0.0772269383052,2.0
254,0.006,0.002,R2,1.0,0.00195,1.006,0.0772269383052,2.0
255,0.006,0.002,R3,0.0,0.00195,1.006,0.0772269383052,2.0
256,0.006,0.002,R4,0.0,0.00195,1.006,0.0772269383052,2.0
257,0.006,0.002,R5,0.0,0.00195,1.006,0.0772269383052,2.0
258,0.006,0.002,R6,0.0,0.00195,1.006,0.0772269383052,2.0
259,0.006,0.002,R7,0.0,0.00195,1.006,0.0772269383052,2.0
260,0.006,0.002,R8,0.0,0.00195,1.006,0.0772269383052,2.0
261,0.006,0.002,R9,0.0,0.00195,1.006,0.0772269383052,2.0
262,0.006,0.002,R10,0.0,0.00195,1.006,0.0772269383052,2.0
263,0.006,0.002,R11,0.0,0.00195,1.006,0.0772269383052,2.0
264,0.006,0.002,R12,0.0,0.00195,1.006,0.0772269383052,2.0
265,0.006,0.002,R13,0.0,0.00195,1.006,0.0772269383052,2.0
266,0.006,0.002,R14,0.0,0.00195,1.006,0.0772269383052,2.0
267,0.006,0.002,R15,0.0,0.00195,1.006,0.0772269383052,2.0
268,0.006,0.002,R16,0.0,0.00195,1.006,0.0772269383052,2.0
269,0.006,0.002,R17,0.0,0.00195,1.006,0.0772269383052,2.0
270,0.006,0.002,R18,0.0,0.00195,1.006,0.0772269383052,2.0
271,0.006,0.002,R19,0.0,0.00195,1.006,0.0772269383052,2.0
272,0.006,0.002,R20,0.0,0.00195,1.006,0.0772269383052,2.0
273,0.006,0.003,R0,19964.0,0.0018,1.006,0.0772269383052,2.0
274,0.006,0.003,R1,31.0,0.0018,1.006,0.0772269383052,2.0
275,0.006,0.003,R2,1.0,0.0018,1.006,0.0772269383052,2.0
276,0.006,0.003,R3,0.0,0.0018,1.006,0.0772269383052,2.0
277,0.006,0.003,R4,0.0,0.0018,1.006,0.0772269383052,2.0
278,0.006,0.003,R5,0.0,0.0018,1.006,0.0772269383052,2.0
279,0.006,0.003,R6,0.0,0.0018,1.006,0.0772269383052,2.0
280,0.006,0.003,R7,0.0,0.0018,1.006,0.0772269383052,2.0
281,0.006,0.003,R8,0.0,0.0018,1.006,0.0772269383052,2.0
282,0.006,0.003,R9,0.0,0.0018,1.006,0.0772269383052,2.0
283,0.006,0.003,R10,0.0,0.0018,1.006,0.0772269383052,2.0
284,0.006,0.003,R11,0.0,0.0018,1.006,0.0772269383052,2.0
285,0.006,0.003,R12,0.0,0.0018,1.006,0.0772269383052,2.0
286,0.006,0.003,R13,0.0,0.0018,1.006,0.0772269383052,2.0
287,0.006,0.003,R14,0.0,0.0018,1.006,0.0772269383052,2.0
288,0.006,0.003,R15,0.0,0.0018,1.006,0.0772269383052,2.0
289,0.006,0.003,R16,0.0,0.0018,1.006,0.0772269383052,2.0
290,0.006,0.003,R17,0.0,0.0018,1.006,0.0772269383052,2.0
291,0.006,0.003,R18,0.0,0.0018,1.006,0.0772269383052,2.0
292,0.006,0.003,R19,0.0,0.0018,1.006,0.0772269383052,2.0
293,0.006,0.003,R20,0.0,0.0018,1.006,0.0772269383052,2.0
294,0.006,0.004,R0,19958.0,0.0021,1.007,0.0833726573884,2.0
295,0.006,0.004,R1,40.0,0.0021,1.007,0.0833726573884,2.0
296,0.006,0.004,R2,1.0,0.0021,1.007,0.0833726573884,2.0
297,0.006,0.004,R3,0.0,0.0021,1.007,0.0833726573884,2.0
298,0.006,0.004,R4,0.0,0.0021,1.007,0.0833726573884,2.0
299,0.006,0.004,R5,0.0,0.0021,1.007,0.0833726573884,2.0
