,SAA,SAa,time,freq,orig
117,0.058,0.029,40,0.000491924285714,0.029
118,0.058,0.029,60,1.75428571429e-05,0.029
119,0.058,0.029,80,3.40857142857e-06,0.029
120,0.06,0.03,20,0.0137765,0.018
121,0.06,0.03,40,0.000383104285714,0.018
122,0.06,0.03,60,1.29342857143e-05,0.018
123,0.06,0.03,80,3.04428571429e-06,0.018
124,0.062,0.031,20,0.0123045871429,0.03
125,0.062,0.031,40,0.000311555714286,0.03
126,0.062,0.031,60,1.008e-05,0.03
127,0.062,0.031,80,2.93142857143e-06,0.03
128,0.064,0.032,20,0.0108956714286,0.02
129,0.064,0.032,40,0.000246855714286,0.02
130,0.064,0.032,60,7.98285714286e-06,0.02
131,0.064,0.032,80,3.08714285714e-06,0.02
132,0.066,0.033,20,0.00979663285714,0.032
133,0.066,0.033,40,0.00019966,0.032
134,0.066,0.033,60,6.19e-06,0.032
135,0.066,0.033,80,2.92714285714e-06,0.032
136,0.068,0.034,20,0.00863942285714,0.025
137,0.068,0.034,40,0.000158278571429,0.025
138,0.068,0.034,60,6.15e-06,0.025
139,0.068,0.034,80,2.90857142857e-06,0.025
140,0.07,0.035,20,0.00772423,0.03
141,0.07,0.035,40,0.000117714285714,0.03
142,0.07,0.035,60,4.50428571429e-06,0.03
143,0.07,0.035,80,2.85714285714e-06,0.03
144,0.072,0.036,20,0.00686285285714,0.01
145,0.072,0.036,40,9.51842857143e-05,0.01
146,0.072,0.036,60,3.82142857143e-06,0.01
147,0.072,0.036,80,2.85714285714e-06,0.01
148,0.074,0.037,20,0.00608657428571,0.017
149,0.074,0.037,40,7.596e-05,0.017
150,0.074,0.037,60,3.55714285714e-06,0.017
151,0.074,0.037,80,2.85714285714e-06,0.017
152,0.076,0.038,20,0.00542170857143,0.02
153,0.076,0.038,40,5.97414285714e-05,0.02
154,0.076,0.038,60,3.22428571429e-06,0.02
155,0.076,0.038,80,2.85714285714e-06,0.02
156,0.078,0.039,20,0.00484605142857,0.021
157,0.078,0.039,40,4.88842857143e-05,0.021
158,0.078,0.039,60,3.18571428571e-06,0.021
159,0.078,0.039,80,2.85714285714e-06,0.021
160,0.08,0.04,20,0.00429316571429,0.026
161,0.08,0.04,40,4.02085714286e-05,0.026
162,0.08,0.04,60,3.07428571429e-06,0.026
163,0.08,0.04,80,2.85714285714e-06,0.026
164,0.082,0.041,20,0.00381819,0.021
165,0.082,0.041,40,2.92571428571e-05,0.021
166,0.082,0.041,60,3.15142857143e-06,0.021
167,0.082,0.041,80,2.85714285714e-06,0.021
168,0.084,0.042,20,0.00341022142857,0.022
169,0.084,0.042,40,2.42985714286e-05,0.022
170,0.084,0.042,60,2.96857142857e-06,0.022
171,0.084,0.042,80,2.85714285714e-06,0.022
172,0.086,0.043,20,0.00304437,0.021
173,0.086,0.043,40,2.10385714286e-05,0.021
174,0.086,0.043,60,2.96571428571e-06,0.021
175,0.086,0.043,80,2.85714285714e-06,0.021
176,0.088,0.044,20,0.00270959857143,0.014
177,0.088,0.044,40,1.63042857143e-05,0.014
178,0.088,0.044,60,2.91285714286e-06,0.014
179,0.088,0.044,80,2.85714285714e-06,0.014
180,0.09,0.045,20,0.00239459571429,0.022
181,0.09,0.045,40,1.279e-05,0.022
182,0.09,0.045,60,2.93285714286e-06,0.022
183,0.09,0.045,80,2.85714285714e-06,0.022
184,0.092,0.046,20,0.00213439,0.016
185,0.092,0.046,40,1.118e-05,0.016
186,0.092,0.046,60,2.91e-06,0.016
187,0.092,0.046,80,2.85714285714e-06,0.016
188,0.094,0.047,20,0.00191323857143,0.01
189,0.094,0.047,40,9.33571428571e-06,0.01
190,0.094,0.047,60,2.96285714286e-06,0.01
191,0.094,0.047,80,2.85714285714e-06,0.01
192,0.096,0.048,20,0.00167752714286,0.025
193,0.096,0.048,40,8.30714285714e-06,0.025
194,0.096,0.048,60,2.85714285714e-06,0.025
195,0.096,0.048,80,2.85714285714e-06,0.025
196,0.098,0.049,20,0.00152157142857,0.019
197,0.098,0.049,40,6.42571428571e-06,0.019
198,0.098,0.049,60,2.88857142857e-06,0.019
199,0.098,0.049,80,2.85714285714e-06,0.019
200,0.1,0.05,20,0.00133761714286,0.023
201,0.1,0.05,40,6.44285714286e-06,0.023
202,0.1,0.05,60,2.85714285714e-06,0.023
203,0.1,0.05,80,2.85714285714e-06,0.023
204,0.102,0.051,20,0.00119039285714,0.016
205,0.102,0.051,40,5.23428571429e-06,0.016
206,0.102,0.051,60,2.85714285714e-06,0.016
207,0.102,0.051,80,2.85714285714e-06,0.016
208,0.104,0.052,20,0.00106138571429,0.024
209,0.104,0.052,40,5.03857142857e-06,0.024
210,0.104,0.052,60,2.85714285714e-06,0.024
211,0.104,0.052,80,2.85714285714e-06,0.024
212,0.106,0.053,20,0.000946894285714,0.023
213,0.106,0.053,40,4.23571428571e-06,0.023
214,0.106,0.053,60,2.85714285714e-06,0.023
