,SAA,SAa,time,freq,orig
115,0.05602,0.0,80,0.0359936514286,0.018
116,0.05802,0.0,20,0.115720081429,0.018
117,0.05802,0.0,40,0.0663281914286,0.018
118,0.05802,0.0,60,0.0458472571429,0.018
119,0.05802,0.0,80,0.0345770271429,0.018
120,0.06002,0.0,20,0.11312314,0.02
121,0.06002,0.0,40,0.06460546,0.02
122,0.06002,0.0,60,0.0445892585714,0.02
123,0.06002,0.0,80,0.0336169557143,0.02
124,0.06202,0.0,20,0.110471387143,0.018
125,0.06202,0.0,40,0.0626981114286,0.018
126,0.06202,0.0,60,0.0431720314286,0.018
127,0.06202,0.0,80,0.0326709857143,0.018
128,0.06402,0.0,20,0.107927771429,0.024
129,0.06402,0.0,40,0.0610007114286,0.024
130,0.06402,0.0,60,0.0418015128571,0.024
131,0.06402,0.0,80,0.0315649014286,0.024
132,0.06602,0.0,20,0.105584424286,0.017
133,0.06602,0.0,40,0.0592995885714,0.017
134,0.06602,0.0,60,0.0406398557143,0.017
135,0.06602,0.0,80,0.0307012228571,0.017
136,0.06802,0.0,20,0.102925008571,0.017
137,0.06802,0.0,40,0.0576625071429,0.017
138,0.06802,0.0,60,0.0395066771429,0.017
139,0.06802,0.0,80,0.0299763585714,0.017
140,0.07002,0.0,20,0.101003934286,0.022
141,0.07002,0.0,40,0.0563976114286,0.022
142,0.07002,0.0,60,0.0384476528571,0.022
143,0.07002,0.0,80,0.0290175357143,0.022
144,0.07202,0.0,20,0.0987734257143,0.022
145,0.07202,0.0,40,0.0548756642857,0.022
146,0.07202,0.0,60,0.0375030371429,0.022
147,0.07202,0.0,80,0.0283154085714,0.022
148,0.07402,0.0,20,0.0968055071429,0.036
149,0.07402,0.0,40,0.0536613771429,0.036
150,0.07402,0.0,60,0.0365082228571,0.036
151,0.07402,0.0,80,0.0273726385714,0.036
152,0.07602,0.0,20,0.0947239185714,0.02
153,0.07602,0.0,40,0.0522644014286,0.02
154,0.07602,0.0,60,0.03556711,0.02
155,0.07602,0.0,80,0.0265983614286,0.02
156,0.07802,0.0,20,0.0927581614286,0.016
157,0.07802,0.0,40,0.0509304228571,0.016
158,0.07802,0.0,60,0.0347075728571,0.016
159,0.07802,0.0,80,0.0260492428571,0.016
160,0.08002,0.0,20,0.0909117028571,0.014
161,0.08002,0.0,40,0.0500440871429,0.014
162,0.08002,0.0,60,0.0339268057143,0.014
163,0.08002,0.0,80,0.0255081814286,0.014
164,0.08202,0.0,20,0.0892223785714,0.021
165,0.08202,0.0,40,0.0487220242857,0.021
166,0.08202,0.0,60,0.0332076585714,0.021
167,0.08202,0.0,80,0.02485452,0.021
168,0.08402,0.0,20,0.08745429,0.036
169,0.08402,0.0,40,0.0477060571429,0.036
170,0.08402,0.0,60,0.0324282814286,0.036
171,0.08402,0.0,80,0.0243225857143,0.036
172,0.08602,0.0,20,0.0857929757143,0.028
173,0.08602,0.0,40,0.0465410214286,0.028
174,0.08602,0.0,60,0.0315483571429,0.028
175,0.08602,0.0,80,0.0235442814286,0.028
176,0.08802,0.0,20,0.0843346314286,0.022
177,0.08802,0.0,40,0.0455846,0.022
178,0.08802,0.0,60,0.0308334485714,0.022
179,0.08802,0.0,80,0.0231088385714,0.022
180,0.09002,0.0,20,0.08273106,0.021
181,0.09002,0.0,40,0.0446051757143,0.021
182,0.09002,0.0,60,0.0301016985714,0.021
183,0.09002,0.0,80,0.0227058385714,0.021
184,0.09202,0.0,20,0.0813326428571,0.025
185,0.09202,0.0,40,0.0437598342857,0.025
186,0.09202,0.0,60,0.0296048685714,0.025
187,0.09202,0.0,80,0.0219587071429,0.025
188,0.09402,0.0,20,0.0800832128571,0.021
189,0.09402,0.0,40,0.0431543214286,0.021
190,0.09402,0.0,60,0.0290442342857,0.021
191,0.09402,0.0,80,0.0218092642857,0.021
192,0.09602,0.0,20,0.0785583714286,0.016
193,0.09602,0.0,40,0.0422646871429,0.016
194,0.09602,0.0,60,0.0285363971429,0.016
195,0.09602,0.0,80,0.0212889528571,0.016
196,0.09802,0.0,20,0.0772646871429,0.02
197,0.09802,0.0,40,0.0415295657143,0.02
198,0.09802,0.0,60,0.0278314471429,0.02
199,0.09802,0.0,80,0.0208928157143,0.02
200,0.10002,0.0,20,0.0758669728571,0.04
201,0.10002,0.0,40,0.0404365428571,0.04
202,0.10002,0.0,60,0.0270639228571,0.04
203,0.10002,0.0,80,0.0203345971429,0.04
204,0.10202,0.0,20,0.0747494314286,0.023
205,0.10202,0.0,40,0.0397952985714,0.023
206,0.10202,0.0,60,0.0269071257143,0.023
207,0.10202,0.0,80,0.0200251842857,0.023
208,0.10402,0.0,20,0.07348599,0.019
209,0.10402,0.0,40,0.03916452,0.019
210,0.10402,0.0,60,0.02638581,0.019
211,0.10402,0.0,80,0.0196286242857,0.019
212,0.10602,0.0,20,0.0723912442857,0.012
213,0.10602,0.0,40,0.0385229128571,0.012
214,0.10602,0.0,60,0.0258977071429,0.012
215,0.10602,0.0,80,0.0193156328571,0.012
216,0.10802,0.0,20,0.0712445142857,0.025
217,0.10802,0.0,40,0.0377487342857,0.025
218,0.10802,0.0,60,0.02535067,0.025
219,0.10802,0.0,80,0.0187697571429,0.025
220,0.11002,0.0,20,0.0700682414286,0.021
221,0.11002,0.0,40,0.0370511757143,0.021
222,0.11002,0.0,60,0.0247307871429,0.021
223,0.11002,0.0,80,0.0183623371429,0.021
224,0.11202,0.0,20,0.0690414428571,0.019
225,0.11202,0.0,40,0.0364249857143,0.019
226,0.11202,0.0,60,0.0244221657143,0.019
227,0.11202,0.0,80,0.0182410157143,0.019
228,0.11402,0.0,20,0.06793569,0.024
229,0.11402,0.0,40,0.0357056085714,0.024
230,0.11402,0.0,60,0.0239230285714,0.024
231,0.11402,0.0,80,0.0177921142857,0.024
232,0.11602,0.0,20,0.0669175228571,0.027
233,0.11602,0.0,40,0.0351727085714,0.027
234,0.11602,0.0,60,0.0235351971429,0.027
235,0.11602,0.0,80,0.0174529457143,0.027
236,0.11802,0.0,20,0.0659718642857,0.024
237,0.11802,0.0,40,0.0347426971429,0.024
238,0.11802,0.0,60,0.0231644471429,0.024
239,0.11802,0.0,80,0.0171735871429,0.024
240,0.12002,0.0,20,0.0651329242857,0.013
241,0.12002,0.0,40,0.0342816271429,0.013
242,0.12002,0.0,60,0.02284831,0.013
243,0.12002,0.0,80,0.0169725414286,0.013
244,0.12202,0.0,20,0.0639765457143,0.014
245,0.12202,0.0,40,0.0335219514286,0.014
246,0.12202,0.0,60,0.0223550885714,0.014
247,0.12202,0.0,80,0.0165555942857,0.014
248,0.12402,0.0,20,0.0631896171429,0.017
249,0.12402,0.0,40,0.0329178514286,0.017
250,0.12402,0.0,60,0.0219797885714,0.017
251,0.12402,0.0,80,0.0162842514286,0.017
252,0.12602,0.0,20,0.0622736728571,0.019
253,0.12602,0.0,40,0.0325920642857,0.019
254,0.12602,0.0,60,0.0216370242857,0.019
255,0.12602,0.0,80,0.0161188871429,0.019
256,0.12802,0.0,20,0.0616044214286,0.017
257,0.12802,0.0,40,0.0322057614286,0.017
258,0.12802,0.0,60,0.0215377314286,0.017
259,0.12802,0.0,80,0.01599393,0.017
260,0.13002,0.0,20,0.0606481314286,0.029
261,0.13002,0.0,40,0.0315416571429,0.029
262,0.13002,0.0,60,0.0210416342857,0.029
263,0.13002,0.0,80,0.01549072,0.029
264,0.13202,0.0,20,0.0596985885714,0.019
265,0.13202,0.0,40,0.0309167471429,0.019
266,0.13202,0.0,60,0.0205874985714,0.019
267,0.13202,0.0,80,0.01525519,0.019
268,0.13402,0.0,20,0.05899737,0.016
269,0.13402,0.0,40,0.0307577685714,0.016
270,0.13402,0.0,60,0.0202169714286,0.016
271,0.13402,0.0,80,0.01494767,0.016
272,0.13602,0.0,20,0.0583020285714,0.029
273,0.13602,0.0,40,0.0303104442857,0.029
274,0.13602,0.0,60,0.0200433342857,0.029
275,0.13602,0.0,80,0.0148912628571,0.029
276,0.13802,0.0,20,0.0574834914286,0.015
277,0.13802,0.0,40,0.0297640271429,0.015
278,0.13802,0.0,60,0.0198207714286,0.015
279,0.13802,0.0,80,0.0146733014286,0.015
280,0.14002,0.0,20,0.0566195214286,0.027
281,0.14002,0.0,40,0.0293193314286,0.027
282,0.14002,0.0,60,0.0196009057143,0.027
283,0.14002,0.0,80,0.0144940585714,0.027
284,0.14202,0.0,20,0.0560027614286,0.022
285,0.14202,0.0,40,0.0290314828571,0.022
286,0.14202,0.0,60,0.0192420657143,0.022
287,0.14202,0.0,80,0.01422758,0.022
288,0.14402,0.0,20,0.0553087328571,0.025
289,0.14402,0.0,40,0.0285663614286,0.025
290,0.14402,0.0,60,0.0188408528571,0.025
291,0.14402,0.0,80,0.01396433,0.025
292,0.14602,0.0,20,0.0544825142857,0.02
293,0.14602,0.0,40,0.0282019485714,0.02
294,0.14602,0.0,60,0.0186937642857,0.02
295,0.14602,0.0,80,0.0137794642857,0.02
296,0.14802,0.0,20,0.0538505971429,0.025
297,0.14802,0.0,40,0.0278547257143,0.025
298,0.14802,0.0,60,0.0184793128571,0.025
299,0.14802,0.0,80,0.0136524585714,0.025
